seq1	4p12.1	(45.6,69.2)
seq7857	19p13.7	(55.5,3.6)
seq7858	22q3.14	(45.5,79.0)
seq7859	12q9.2	(66.3,0.8)
seq7860	15p9.15	(18.4,9.5)
seq7861	19q15.10	(19.3,66.8)
seq7862	10q13.8	(14.3,36.2)
seq7863	3p8.15	(40.3,77.5)
seq7864	1q4.13	(68.6,97.4)
seq7865	8q3.7	(17.8,95.5)
seq7866	16p14.11	(98.9,63.8)
seq7867	6q3.4	(93.0,81.6)
seq7868	3q4.8	(18.0,37.3)
seq7869	21p15.6	(11.2,84.3)
seq7870	5q1.14	(95.3,13.2)
seq7871	5p11.11	(22.3,15.9)
seq7872	1p15.8	(19.7,91.7)
seq7873	13q14.11	(93.8,52.9)
seq7874	21q13.5	(10.0,72.0)
seq7875	7p1.14	(3.8,57.7)
seq7876	7q14.14	(67.4,49.1)
seq7877	2q9.2	(86.5,13.2)
seq7878	2q9.7	(43.0,12.9)
seq7879	9q12.13	(47.7,72.8)
seq7880	19q14.5	(47.0,76.3)
seq7881	16q5.5	(42.7,60.0)
seq7882	12q12.6	(38.0,14.6)
seq7883	4q3.6	(15.2,10.8)
seq7884	12p5.7	(69.6,39.5)
seq7885	18q5.2	(84.3,89.6)
seq7886	7q11.3	(23.9,42.3)
seq7887	12p4.6	(25.5,51.6)
seq7888	21p3.3	(42.6,5.7)
seq7889	20q13.14	(17.3,18.6)
seq7890	9q7.11	(24.2,9.2)
seq7891	14q7.15	(67.8,1.7)
seq7892	21p8.6	(80.6,77.5)
seq7893	18p14.3	(63.0,85.1)
seq7894	18p6.6	(75.9,53.6)
seq7895	15p13.11	(56.6,4.4)
seq7896	20q7.15	(79.3,11.6)
seq7897	7p9.5	(40.0,96.3)
seq7898	2p9.8	(37.7,53.4)
seq7899	3q12.10	(80.0,26.2)
seq7900	17p10.12	(33.4,33.0)
seq7901	1p5.6	(62.9,94.6)
seq7902	15p2.9	(88.1,56.9)
seq7903	14q9.8	(78.8,66.8)
seq7904	13p7.10	(83.3,20.2)
seq7905	9p11.3	(25.7,65.1)
seq7906	17p12.13	(2.3,77.2)
seq7907	13q1.11	(89.2,51.9)
seq7908	8q5.12	(42.1,17.7)
seq7909	5p2.7	(4.0,79.4)
seq7910	15p2.12	(68.7,47.7)
seq7911	5p9.8	(50.5,81.8)
seq7912	12p4.7	(95.8,24.6)
seq7913	1p6.15	(20.7,0.4)
seq7914	17q14.13	(61.9,32.2)
seq7915	18q9.8	(28.7,22.5)
seq7916	17p15.7	(6.5,36.2)
seq7917	1q1.9	(63.9,56.4)
seq7918	5p4.14	(28.2,98.0)
seq7919	1q12.11	(54.2,29.3)
seq7920	18p7.12	(37.1,19.8)
seq7921	5q11.7	(58.3,2.8)
seq7922	19p14.6	(76.0,61.4)
seq7923	4q11.14	(75.7,1.8)
seq7924	18p15.9	(22.4,13.3)
seq7925	21q4.4	(82.7,34.2)
seq7926	18p14.11	(21.3,48.3)
seq7927	4p14.15	(64.5,68.8)
seq7928	19p6.6	(40.1,85.7)
seq7929	17p9.7	(70.3,27.2)
seq7930	21p10.10	(56.8,90.5)
seq7931	22q1.8	(4.6,29.6)
seq7932	8p3.3	(97.9,89.3)
seq7933	2q11.5	(45.9,48.6)
seq7934	7q12.15	(20.3,86.6)
seq7935	11p12.12	(45.1,75.3)
seq7936	3q14.8	(16.6,8.7)
seq7937	15q3.4	(56.7,8.7)
seq7938	18p6.4	(28.8,14.4)
seq7939	6q13.7	(3.8,47.1)
seq7940	22p11.11	(37.1,55.1)
seq7941	6q4.7	(37.3,46.4)
seq7942	21q6.1	(68.1,79.3)
seq7943	17q12.6	(47.4,78.2)
seq7944	2q14.7	(52.4,5.7)
seq7945	16p1.13	(5.1,81.2)
seq7946	20p7.5	(53.6,62.4)
seq7947	1p4.9	(14.7,14.2)
seq7948	1q14.4	(97.2,35.6)
seq7949	6q9.15	(29.0,98.1)
seq7950	18p6.1	(74.0,47.0)
seq7951	18q6.4	(61.4,19.8)
seq7952	20q13.9	(37.1,58.1)
seq7953	17p13.3	(75.7,31.8)
seq7954	18p14.1	(6.6,10.5)
seq7955	8p1.6	(45.7,1.6)
seq7956	7p11.8	(99.0,90.7)
seq7957	3p4.8	(0.2,29.6)
seq7958	15q5.14	(83.5,93.0)
seq7959	12q9.3	(26.0,82.8)
seq7960	10q1.2	(12.2,53.7)
seq7961	10p10.8	(22.5,27.8)
seq7962	2q6.8	(66.1,49.9)
seq7963	16q8.1	(36.2,91.0)
seq7964	14p3.3	(6.3,23.1)
seq7965	19q3.6	(70.7,24.9)
seq7966	15q11.7	(71.4,16.7)
seq7967	18q13.3	(57.3,26.2)
seq7968	3q10.1	(61.1,42.0)
seq7969	12q8.3	(62.2,16.3)
seq7970	21p9.10	(33.8,22.7)
seq7971	6p5.12	(23.8,68.7)
seq7972	3p5.1	(34.7,26.1)
seq7973	10q4.1	(45.4,14.7)
seq7974	9q13.10	(21.1,89.3)
seq7975	11p14.1	(48.2,74.3)
seq7976	18p7.7	(86.1,89.9)
seq7977	8p3.10	(67.1,53.5)
seq7978	5p8.3	(78.3,77.5)
seq7979	22p6.7	(30.9,64.8)
seq7980	5p6.15	(59.6,31.3)
seq7981	3p3.1	(62.5,0.7)
seq7982	8p13.5	(38.4,6.1)
seq7983	13q14.15	(87.0,41.4)
seq7984	3q9.9	(5.5,85.2)
seq7985	19q5.9	(47.0,99.8)
seq7986	17q13.9	(6.3,73.6)
seq7987	14q1.10	(32.9,1.3)
seq7988	3p3.11	(7.8,15.4)
seq7989	12q7.12	(25.9,16.0)
seq7990	22p8.11	(76.0,14.2)
seq7991	20q9.1	(18.6,49.4)
seq7992	5q13.5	(95.2,0.5)
seq7993	5q9.12	(83.7,80.6)
seq7994	12q14.10	(5.3,100.0)
seq7995	15p8.12	(59.0,11.3)
seq7996	4q2.12	(79.4,62.9)
seq7997	21p7.9	(66.0,93.5)
seq7998	9p11.4	(85.7,52.0)
seq7999	3q15.3	(54.8,11.2)
seq8000	19q15.3	(50.1,68.2)
seq8001	8q11.8	(55.6,71.9)
seq8002	15q8.8	(23.1,3.5)
seq8003	12q7.8	(65.9,81.8)
seq8004	18q2.15	(87.1,67.6)
seq8005	12q1.8	(97.8,80.4)
seq8006	21q13.11	(19.0,53.9)
seq8007	3p10.1	(85.4,59.9)
seq8008	11q14.8	(10.9,23.1)
seq8009	14q2.4	(14.8,46.5)
seq8010	22p14.12	(24.8,4.3)
seq8011	2p11.9	(57.2,70.7)
seq8012	8q2.10	(74.4,55.7)
seq8013	8q8.13	(95.9,70.2)
seq8014	14p4.10	(75.1,88.9)
seq8015	2p9.15	(9.0,74.6)
seq8016	1q15.12	(10.6,22.1)
seq8017	10q9.2	(25.1,86.6)
seq8018	7p3.10	(39.0,5.4)
seq8019	10q10.11	(46.7,16.5)
seq8020	20p5.13	(79.4,27.6)
seq8021	14p11.10	(76.3,22.8)
seq8022	19p9.10	(58.5,63.9)
seq8023	17q13.13	(55.1,95.5)
seq8024	15q13.8	(98.8,20.9)
seq8025	17q10.13	(4.3,80.5)
seq8026	2q10.11	(83.8,49.0)
seq8027	8p9.13	(67.1,58.5)
seq8028	2q7.13	(91.9,43.4)
seq8029	1p11.1	(57.8,16.6)
seq8030	5p12.4	(78.3,78.7)
seq8031	7q7.15	(5.2,89.3)
seq8032	6p14.4	(26.8,51.4)
seq8033	1p11.3	(33.7,23.0)
seq8034	8p8.6	(6.0,22.1)
seq8035	7p2.5	(13.9,61.0)
seq8036	4p2.4	(39.8,61.5)
seq8037	14q5.7	(29.6,27.0)
seq8038	9q3.3	(41.0,52.1)
seq8039	12q4.9	(16.5,34.8)
seq8040	7q4.2	(48.9,11.4)
seq8041	14p4.13	(29.8,16.6)
seq8042	10p10.11	(49.0,82.6)
seq8043	6p15.15	(94.9,7.0)
seq8044	14q8.4	(1.9,83.9)
seq8045	13q8.13	(92.9,74.2)
seq8046	18q5.11	(56.0,80.3)
seq8047	20p12.13	(12.3,44.8)
seq8048	2q2.3	(67.5,37.7)
seq8049	4p7.3	(61.9,47.9)
seq8050	17q7.5	(98.9,29.4)
seq8051	13p13.6	(47.6,30.8)
seq8052	5q3.4	(9.3,80.0)
seq8053	17p5.9	(23.8,3.2)
seq8054	20q6.12	(6.1,9.7)
seq8055	21q10.1	(33.5,14.1)
seq8056	17q4.8	(36.9,24.8)
seq8057	17p6.6	(59.5,6.1)
seq8058	14p14.8	(29.6,82.7)
seq8059	10p14.7	(29.7,30.2)
seq8060	11q9.15	(10.7,57.5)
seq8061	20q5.7	(25.1,73.1)
seq8062	5p5.8	(33.5,25.3)
seq8063	8p15.10	(51.8,30.7)
seq8064	22p11.5	(6.8,43.2)
seq8065	21q14.4	(26.0,39.4)
seq8066	11p13.4	(96.7,68.0)
seq8067	3p2.3	(32.4,34.3)
seq8068	21p3.12	(13.2,0.8)
seq8069	15q4.5	(75.9,95.7)
seq8070	15q1.12	(7.0,88.7)
seq8071	22p6.3	(26.0,27.6)
seq8072	21q8.3	(67.5,22.7)
seq8073	16p7.3	(77.9,53.3)
seq8074	3p13.8	(49.2,0.5)
seq8075	19p7.11	(40.3,84.1)
seq8076	16p12.4	(7.9,26.9)
seq8077	21p11.6	(76.6,26.1)
seq8078	4p9.1	(61.2,3.0)
seq8079	18q6.9	(25.2,83.3)
seq8080	7q2.14	(97.4,33.2)
seq8081	7q8.9	(51.7,27.8)
seq8082	6q2.6	(35.6,82.3)
seq8083	11p9.11	(38.7,60.1)
seq8084	6q2.2	(0.0,79.0)
seq8085	12q3.6	(67.2,92.6)
seq8086	11q8.14	(55.5,14.2)
seq8087	12q9.11	(27.1,5.7)
seq8088	7p7.3	(20.8,72.0)
seq8089	8p6.2	(34.3,75.0)
seq8090	17p4.2	(18.1,48.2)
seq8091	13q8.11	(57.6,66.3)
seq8092	13q7.14	(13.0,37.2)
seq8093	18q13.14	(75.2,75.9)
seq8094	22p14.3	(86.1,53.2)
seq8095	12q2.3	(25.9,51.0)
seq8096	11p8.5	(73.4,91.7)
seq8097	21p3.10	(39.3,59.1)
seq8098	9p11.9	(87.3,80.9)
seq8099	5q8.7	(95.4,20.7)
seq8100	3q15.14	(40.4,62.8)
seq8101	6q9.6	(55.1,2.6)
seq8102	15p7.5	(78.8,40.0)
seq8103	9q13.11	(22.5,89.4)
seq8104	12q15.10	(84.1,89.7)
seq8105	1q15.12	(23.4,94.5)
seq8106	3q13.12	(95.9,89.6)
seq8107	1p13.9	(65.7,62.8)
seq8108	15q13.5	(96.1,16.7)
seq8109	11q7.12	(72.7,92.1)
seq8110	16p5.2	(84.6,1.2)
seq8111	5p6.9	(63.1,50.7)
seq8112	1q6.13	(97.8,88.8)
seq8113	7q3.8	(15.0,32.3)
seq8114	10p8.15	(13.5,72.9)
seq8115	22p6.6	(48.2,17.9)
seq8116	7q4.15	(54.6,94.9)
seq8117	22p9.9	(15.5,50.2)
seq8118	1q6.15	(17.0,46.1)
seq8119	9q11.6	(10.7,76.5)
seq8120	5p2.9	(63.3,67.1)
seq8121	9p5.3	(97.5,5.1)
seq8122	13q10.10	(92.7,42.9)
seq8123	7q6.8	(98.5,52.8)
seq8124	3p8.3	(5.3,29.7)
seq8125	16p3.4	(52.7,69.2)
seq8126	1p9.6	(59.6,80.5)
seq8127	3p15.9	(67.4,57.2)
seq8128	15p10.14	(4.8,78.6)
seq8129	20q3.4	(88.1,93.3)
seq8130	14q10.3	(66.7,3.4)
seq8131	3q2.10	(14.8,42.9)
seq8132	4q7.10	(55.3,24.4)
seq8133	11q12.2	(76.8,30.9)
seq8134	21q10.14	(24.5,0.5)
seq8135	15q14.11	(11.3,37.0)
seq8136	7p5.5	(38.8,18.9)
seq8137	17p5.14	(77.1,61.5)
seq8138	6p15.10	(32.1,90.1)
seq8139	3q3.1	(19.1,49.5)
seq8140	3p7.14	(67.0,30.2)
seq8141	1q14.4	(0.9,0.7)
seq8142	13p13.9	(28.6,64.4)
seq8143	21q7.4	(60.4,4.2)
seq8144	15p11.6	(42.3,47.4)
seq8145	7p6.6	(74.7,17.4)
seq8146	2q4.1	(14.1,25.9)
seq8147	11q14.1	(86.6,59.0)
seq8148	6q9.12	(8.0,87.1)
seq8149	5q3.3	(5.2,68.7)
seq8150	13q6.11	(42.3,10.8)
seq8151	4q1.6	(83.6,39.3)
seq8152	17p13.9	(98.5,4.8)
seq8153	3p9.12	(88.6,28.1)
seq8154	9p7.2	(32.0,27.8)
seq8155	7p2.3	(34.7,90.7)
seq8156	18q5.6	(1.6,47.4)
seq8157	7p5.8	(80.2,99.6)
seq8158	10q7.15	(5.5,1.5)
seq8159	15q14.11	(28.6,95.6)
seq8160	1p10.6	(25.7,45.6)
seq8161	2p13.11	(38.1,23.8)
seq8162	3p9.7	(74.7,58.1)
seq8163	1p7.3	(56.1,36.5)
seq8164	7q2.9	(84.0,49.1)
seq8165	7p13.1	(3.2,83.5)
seq8166	20p14.1	(13.4,15.1)
seq8167	17q2.2	(19.4,64.4)
seq8168	6p5.2	(89.2,62.9)
seq8169	19p5.15	(61.2,40.2)
seq8170	14q11.5	(72.4,36.8)
seq8171	5q9.14	(1.5,81.8)
seq8172	21p7.12	(0.6,59.3)
seq8173	22q14.12	(96.9,50.3)
seq8174	13q4.4	(3.0,96.0)
seq8175	10q12.6	(23.5,69.3)
seq8176	12p15.12	(21.7,24.7)
seq8177	6q11.12	(19.7,26.5)
seq8178	19p4.7	(98.6,38.2)
seq8179	10p4.13	(26.0,22.3)
seq8180	21p14.13	(97.0,83.3)
seq8181	13q7.6	(14.3,51.1)
seq8182	10p2.12	(74.0,71.6)
seq8183	2q13.13	(75.2,32.0)
seq8184	9q2.15	(87.1,48.9)
seq8185	6q6.7	(39.5,1.7)
seq8186	6q1.14	(24.0,97.1)
seq8187	18q7.9	(30.2,14.5)
seq8188	3q12.1	(47.9,76.4)
seq8189	14p8.13	(15.8,8.4)
seq8190	14p15.1	(68.4,10.8)
seq8191	10q14.7	(12.6,53.4)
seq8192	20p11.11	(72.1,35.5)
seq8193	6q3.3	(53.0,95.4)
seq8194	10q5.5	(96.5,59.0)
seq8195	9q13.2	(29.7,13.7)
seq8196	8p9.1	(63.1,32.1)
seq8197	7q15.12	(32.8,15.4)
seq8198	10q7.9	(8.8,11.5)
seq8199	2p14.10	(51.1,51.5)
seq8200	9q5.10	(28.8,55.7)
seq8201	5q9.15	(76.3,70.5)
seq8202	5q3.14	(60.3,81.7)
seq8203	21q15.8	(39.1,75.0)
seq8204	4p6.14	(18.7,36.0)
seq8205	16p11.4	(66.6,83.4)
seq8206	18q4.5	(40.5,14.9)
seq8207	10p4.11	(87.2,20.6)
seq8208	17p7.12	(17.7,47.7)
seq8209	17p14.7	(62.3,38.9)
seq8210	15p7.3	(74.4,99.1)
seq8211	9q7.4	(3.7,64.1)
seq8212	16q7.15	(90.7,35.1)
seq8213	22p11.6	(0.7,57.5)
seq8214	11p2.3	(95.1,11.4)
seq8215	18q13.8	(43.2,3.8)
seq8216	18q14.4	(72.8,63.6)
seq8217	22p5.11	(30.6,25.3)
seq8218	5q2.14	(84.4,41.1)
seq8219	17p10.6	(9.3,23.8)
seq8220	12p14.7	(44.9,0.6)
seq8221	21q1.1	(18.4,54.4)
seq8222	4p6.6	(8.7,50.6)
seq8223	6p1.5	(17.8,58.9)
seq8224	17p3.4	(75.3,60.0)
seq8225	2q6.11	(83.7,27.3)
seq8226	20q15.15	(77.8,3.2)
seq8227	14p14.15	(87.8,22.2)
seq8228	6q13.1	(50.6,67.6)
seq8229	12q14.14	(79.5,30.6)
seq8230	7p14.10	(82.0,17.7)
seq8231	20p6.1	(18.9,17.6)
seq8232	5p9.7	(93.1,73.5)
seq8233	1q5.2	(47.5,18.4)
seq8234	6q9.13	(15.1,23.1)
seq8235	7q9.15	(45.8,87.1)
seq8236	1p3.3	(66.0,36.0)
seq8237	10q9.1	(3.5,99.9)
seq8238	2p13.8	(19.0,51.1)
seq8239	8q14.11	(9.0,79.4)
seq8240	6p14.1	(20.9,69.4)
seq8241	6q3.10	(63.2,65.9)
seq8242	10p10.1	(98.1,85.3)
seq8243	14q15.4	(89.4,12.4)
seq8244	16q6.5	(37.6,28.5)
seq8245	20p1.3	(76.9,46.0)
seq8246	16p14.10	(68.6,61.1)
seq8247	11q3.1	(75.7,29.0)
seq8248	11p9.8	(33.5,3.1)
seq8249	14p15.4	(53.8,13.6)
seq8250	10p7.5	(5.2,10.4)
seq8251	11p7.11	(84.6,85.6)
seq8252	8q2.11	(53.9,92.1)
seq8253	14p7.2	(48.1,15.9)
seq8254	11p9.14	(71.8,6.3)
seq8255	17p9.8	(91.5,58.1)
seq8256	19p13.7	(56.8,87.7)
seq8257	19q13.12	(40.6,53.9)
seq8258	21p9.4	(2.8,71.1)
seq8259	5p10.1	(27.4,3.0)
seq8260	2q4.5	(4.4,7.5)
seq8261	7q5.5	(94.7,96.6)
seq8262	3p2.15	(28.5,20.2)
seq8263	13q9.4	(70.9,42.5)
seq8264	3q15.13	(46.3,9.6)
seq8265	14q5.7	(48.7,68.8)
seq8266	13q4.14	(69.3,0.3)
seq8267	12q3.4	(93.6,28.3)
seq8268	21q2.15	(71.9,46.4)
seq8269	9q7.12	(75.8,85.1)
seq8270	12p4.9	(29.5,25.8)
seq8271	19q7.5	(73.4,84.8)
seq8272	13q15.15	(63.1,75.4)
seq8273	1q13.5	(31.9,65.3)
seq8274	16p15.13	(55.9,6.6)
seq8275	1p2.4	(83.1,28.7)
seq8276	5q5.3	(87.0,77.2)
seq8277	2p14.10	(76.0,84.3)
seq8278	2p7.3	(74.0,93.6)
seq8279	9p15.9	(68.7,82.5)
seq8280	18p11.10	(18.4,43.0)
seq8281	5p11.3	(18.6,30.1)
seq8282	14q14.3	(76.6,92.7)
seq8283	19p2.3	(43.4,83.1)
seq8284	7q6.2	(51.3,26.5)
seq8285	2p7.8	(75.9,33.7)
seq8286	21p4.1	(97.7,37.1)
seq8287	19p13.6	(2.8,56.0)
seq8288	12p10.12	(83.8,8.4)
seq8289	19q13.12	(87.0,28.9)
seq8290	16p13.12	(19.5,19.9)
seq8291	22p14.10	(29.5,97.7)
seq8292	12q3.9	(60.0,31.8)
seq8293	17q15.13	(82.7,53.0)
seq8294	7q3.11	(59.6,17.4)
seq8295	4q14.15	(84.8,46.3)
seq8296	17q14.5	(1.5,35.3)
seq8297	8p14.15	(20.1,51.2)
seq8298	1q8.6	(87.0,88.4)
seq8299	6p7.7	(12.8,39.5)
seq8300	6q6.14	(41.0,99.3)
seq8301	16p5.4	(70.3,98.9)
seq8302	6q14.8	(55.7,59.0)
seq8303	15p2.8	(91.6,15.3)
seq8304	12p12.4	(49.0,21.6)
seq8305	19p11.5	(36.9,0.6)
seq8306	7q1.13	(8.9,19.2)
seq8307	6q15.9	(23.0,27.4)
seq8308	12q6.7	(81.9,43.2)
seq8309	13p2.5	(92.2,32.1)
seq8310	22q6.9	(67.3,68.7)
seq8311	1q1.7	(31.4,42.1)
seq8312	13q4.5	(47.5,83.9)
seq8313	5q11.3	(68.1,56.3)
seq8314	21q1.8	(85.6,82.5)
seq8315	3q1.6	(9.5,23.3)
seq8316	21q15.8	(80.0,26.0)
seq8317	20p1.15	(55.4,15.2)
seq8318	16q1.2	(70.3,72.7)
seq8319	13p5.5	(42.0,71.7)
seq8320	15q4.3	(34.4,54.9)
seq8321	5q4.3	(1.2,92.7)
seq8322	3q5.12	(11.0,69.0)
seq8323	20p15.14	(38.2,2.8)
seq8324	18q1.2	(0.9,11.4)
seq8325	15q5.5	(49.1,24.1)
seq8326	17p1.10	(99.8,96.5)
seq8327	11p14.12	(90.0,74.3)
seq8328	11p1.1	(30.5,13.9)
seq8329	11q11.1	(62.4,79.2)
seq8330	2q6.11	(41.0,28.5)
seq8331	3p5.15	(72.6,92.5)
seq8332	15q3.12	(40.9,29.1)
seq8333	15p15.7	(5.5,77.2)
seq8334	12q9.15	(94.1,32.7)
seq8335	21q11.11	(12.2,47.0)
seq8336	22q2.6	(8.2,13.8)
seq8337	2p8.12	(37.6,3.9)
seq8338	10q15.8	(51.0,81.0)
seq8339	8q1.7	(93.5,90.5)
seq8340	22p14.14	(16.4,12.3)
seq8341	5q6.11	(18.9,47.0)
seq8342	4p10.4	(72.2,34.7)
seq8343	19q8.6	(66.8,82.8)
seq8344	10q9.12	(54.5,16.6)
seq8345	17p12.5	(76.7,62.7)
seq8346	7q1.12	(19.0,59.7)
seq8347	12q9.4	(2.4,87.9)
seq8348	20p6.8	(99.8,3.9)
seq8349	20p3.13	(66.2,19.7)
seq8350	7q11.7	(18.8,12.6)
seq8351	4p3.5	(29.8,99.9)
seq8352	3q8.11	(55.6,5.0)
seq8353	19p5.7	(72.7,58.0)
seq8354	8q5.8	(14.4,100.0)
seq8355	9p9.6	(59.6,46.3)
seq8356	1q11.2	(8.6,63.1)
seq8357	18p12.6	(39.2,74.1)
seq8358	15q9.2	(56.6,32.4)
seq8359	5p5.12	(98.0,48.4)
seq8360	15p13.2	(95.9,18.7)
seq8361	17q4.1	(42.2,14.8)
seq8362	21p8.4	(82.2,47.2)
seq8363	5p14.3	(48.5,98.7)
seq8364	13q10.10	(71.1,96.1)
seq8365	1p3.8	(79.1,62.8)
seq8366	13p9.14	(26.2,38.9)
seq8367	5q1.4	(60.7,73.0)
seq8368	9q9.3	(74.6,24.8)
seq8369	15q9.11	(10.6,3.3)
seq8370	3p9.4	(0.8,19.6)
seq8371	17p7.8	(34.4,81.5)
seq8372	20q11.13	(85.1,25.1)
seq8373	16p5.6	(83.5,90.2)
seq8374	5q12.3	(98.0,76.9)
seq8375	10p2.9	(68.8,36.1)
seq8376	18p3.7	(68.2,57.9)
seq8377	18q5.8	(32.7,82.5)
seq8378	13p1.4	(97.4,75.1)
seq8379	22p8.11	(64.5,99.8)
seq8380	11q11.4	(90.9,45.1)
seq8381	17p11.13	(50.5,47.5)
seq8382	6q6.5	(89.2,46.9)
seq8383	2p9.2	(95.3,95.3)
seq8384	3p10.7	(85.5,3.7)
seq8385	20p13.13	(5.4,57.8)
seq8386	1q4.13	(60.5,45.0)
seq8387	7q9.3	(8.7,1.5)
seq8388	20q6.10	(89.6,50.2)
seq8389	9q4.10	(21.9,66.9)
seq8390	10q7.9	(88.0,23.0)
seq8391	13q1.3	(92.5,74.7)
seq8392	6q5.4	(93.1,15.1)
seq8393	12q2.9	(26.6,51.8)
seq8394	22q15.12	(69.4,99.2)
seq8395	20p14.9	(84.2,50.2)
seq8396	10q4.14	(29.2,83.4)
seq8397	15p11.13	(36.1,77.3)
seq8398	3p8.1	(4.5,85.1)
seq8399	9p7.1	(78.9,82.9)
seq8400	17p8.4	(52.7,46.9)
seq8401	2p4.7	(25.1,2.3)
seq8402	3q14.9	(8.0,98.1)
seq8403	12q8.5	(83.4,42.9)
seq8404	20p5.10	(16.3,62.9)
seq8405	2q5.8	(8.8,8.3)
seq8406	3p11.8	(26.5,13.2)
seq8407	18q6.7	(12.3,59.9)
seq8408	5q9.15	(12.2,34.7)
seq8409	12q9.2	(1.4,14.1)
seq8410	1q12.1	(22.1,88.5)
seq8411	6q4.5	(66.2,80.8)
seq8412	6q2.9	(58.0,48.5)
seq8413	14q10.13	(26.0,82.5)
seq8414	13q8.1	(38.4,83.1)
seq8415	2q5.5	(44.4,97.8)
seq8416	2q9.8	(42.6,82.3)
seq8417	14p2.2	(43.4,6.2)
seq8418	6p11.15	(71.0,62.2)
seq8419	1p3.2	(52.2,43.4)
seq8420	10p13.15	(29.3,41.5)
seq8421	20p6.12	(35.7,39.0)
seq8422	7q8.5	(92.7,86.0)
seq8423	12p9.3	(98.2,2.6)
seq8424	13p12.9	(77.3,76.0)
seq8425	13p5.3	(53.7,9.9)
seq8426	11p3.8	(84.6,18.9)
seq8427	20q10.2	(24.9,5.4)
seq8428	20q12.9	(73.6,98.9)
seq8429	2p7.8	(65.6,40.1)
seq8430	3p1.10	(30.9,42.0)
seq8431	9q11.6	(0.5,89.3)
seq8432	1q9.12	(88.5,32.3)
seq8433	12p7.3	(26.5,28.2)
seq8434	14q6.14	(51.4,38.4)
seq8435	1p10.10	(38.6,67.7)
seq8436	15q10.2	(30.9,68.8)
seq8437	18p1.4	(92.5,6.7)
seq8438	4q2.12	(14.1,16.1)
seq8439	19p14.14	(37.5,23.1)
seq8440	2q12.1	(80.2,94.5)
seq8441	7p3.5	(23.3,30.6)
seq8442	10p15.10	(90.7,67.7)
seq8443	8q11.7	(97.9,72.9)
seq8444	6p14.4	(97.5,30.9)
seq8445	15q9.7	(80.0,26.9)
seq8446	8p1.8	(84.7,60.8)
seq8447	18p14.13	(77.6,97.7)
seq8448	9q12.1	(91.8,32.1)
seq8449	17p5.6	(96.3,79.3)
seq8450	1q13.14	(42.2,71.3)
seq8451	1p13.8	(11.2,79.6)
seq8452	10q14.5	(30.3,74.9)
seq8453	5p1.5	(38.7,26.6)
seq8454	22p7.13	(59.6,78.6)
seq8455	3p12.9	(84.4,38.6)
seq8456	14p8.2	(29.2,88.9)
seq8457	2p13.9	(15.0,72.8)
seq8458	20q10.9	(8.8,59.3)
seq8459	20q12.5	(26.6,94.3)
seq8460	7q14.14	(77.1,33.2)
seq8461	21p14.5	(41.4,76.1)
seq8462	3q6.11	(3.6,25.7)
seq8463	12q7.2	(77.3,1.0)
seq8464	15p7.14	(85.5,96.8)
seq8465	22p9.6	(45.1,82.9)
seq8466	6p10.11	(57.3,38.8)
seq8467	19q3.7	(87.6,46.0)
seq8468	4q10.5	(12.4,41.0)
seq8469	17q2.8	(92.0,93.9)
seq8470	11p14.4	(54.5,48.7)
seq8471	8p4.11	(64.1,61.3)
seq8472	22q5.5	(76.3,19.3)
seq8473	7p14.7	(10.5,40.5)
seq8474	14q12.11	(30.4,65.3)
seq8475	17p14.2	(64.3,2.6)
seq8476	10p15.4	(34.6,86.8)
seq8477	15q6.3	(67.7,22.4)
seq8478	8q15.1	(66.7,77.8)
seq8479	15q7.5	(48.1,33.3)
seq8480	15q6.6	(50.6,96.8)
seq8481	16p5.9	(80.7,85.5)
seq8482	1q9.1	(95.2,85.0)
seq8483	3p1.11	(29.2,20.0)
seq8484	10q7.12	(71.0,71.8)
seq8485	10q11.1	(60.8,7.9)
seq8486	4p3.2	(43.6,93.4)
seq8487	14p12.1	(18.7,89.7)
seq8488	9p8.6	(95.9,77.6)
seq8489	12q3.14	(60.4,32.0)
seq8490	11q8.14	(15.5,93.1)
seq8491	6p1.3	(6.7,65.1)
seq8492	12p3.15	(47.9,1.3)
seq8493	22p15.9	(56.3,94.0)
seq8494	8p2.10	(74.1,9.6)
seq8495	16p5.12	(40.6,49.3)
seq8496	16q12.4	(14.5,51.8)
seq8497	13p4.14	(58.9,12.1)
seq8498	15q8.9	(49.5,46.8)
seq8499	9q13.11	(75.7,57.5)
seq8500	14p3.13	(95.4,6.1)
seq8501	14q12.7	(38.4,37.8)
seq8502	19p14.13	(77.3,91.8)
seq8503	9p6.10	(28.8,23.8)
seq8504	6p14.7	(28.8,39.0)
seq8505	7q8.3	(4.2,76.5)
seq8506	11q15.9	(88.2,28.8)
seq8507	5p11.2	(53.8,82.7)
seq8508	20p4.11	(44.2,65.0)
seq8509	9q4.5	(97.1,5.9)
seq8510	4p13.7	(77.7,72.7)
seq8511	5q3.11	(25.4,9.1)
seq8512	6p5.15	(36.7,43.2)
seq8513	9q5.4	(65.0,15.8)
seq8514	10q8.6	(40.2,40.9)
seq8515	2q15.2	(63.4,56.2)
seq8516	20p1.8	(36.1,86.3)
seq8517	14p12.10	(55.4,97.8)
seq8518	3q8.1	(82.3,29.8)
seq8519	9p11.10	(29.9,71.1)
seq8520	17q11.11	(59.4,54.4)
seq8521	1p12.14	(68.0,65.2)
