seq1	19q2.3	(24.3,55.8)
seq91440	10q10.1	(62.0,95.6)
seq91441	15q13.15	(72.5,35.5)
seq91442	12q3.2	(65.1,54.7)
seq91443	20q13.15	(36.9,65.9)
seq91444	22p15.15	(52.6,76.1)
seq91445	15p9.6	(15.3,10.7)
seq91446	5p6.12	(33.1,77.0)
seq91447	21p15.6	(15.7,62.2)
seq91448	14q10.12	(92.4,87.3)
seq91449	8p1.1	(73.2,30.1)
seq91450	17p6.3	(31.5,67.4)
seq91451	7p3.14	(37.5,6.6)
seq91452	21p8.10	(52.6,30.9)
seq91453	6q13.12	(54.7,69.2)
seq91454	2p5.8	(57.6,30.3)
seq91455	2p10.13	(5.6,58.6)
seq91456	20p12.8	(68.5,29.0)
seq91457	2p8.1	(42.1,78.7)
seq91458	21q2.13	(98.5,60.4)
seq91459	19p12.9	(45.2,55.3)
seq91460	19q1.5	(33.6,45.0)
seq91461	17p2.10	(37.2,19.4)
seq91462	18q13.1	(48.1,40.3)
seq91463	17q2.13	(22.9,97.8)
seq91464	16q14.10	(80.1,77.9)
seq91465	13p2.4	(65.0,69.7)
seq91466	21p10.3	(6.5,2.7)
seq91467	21q1.12	(92.9,36.1)
seq91468	3p12.7	(99.0,79.2)
seq91469	20q10.7	(7.8,94.5)
seq91470	4q4.1	(3.0,8.2)
seq91471	18q1.11	(7.3,45.3)
seq91472	19p6.2	(73.8,99.1)
seq91473	6p13.3	(96.4,27.1)
seq91474	21q6.10	(51.0,0.1)
seq91475	15q3.10	(49.1,39.7)
seq91476	12p4.2	(97.9,92.6)
seq91477	21q12.10	(80.2,14.9)
seq91478	4p14.6	(90.0,60.3)
seq91479	12p10.1	(61.7,64.2)
seq91480	5q2.4	(8.6,32.0)
seq91481	19p6.3	(62.1,30.9)
seq91482	16p9.13	(26.9,8.9)
seq91483	6p3.12	(65.6,61.5)
seq91484	22q5.2	(91.2,80.1)
seq91485	18p4.1	(36.7,41.7)
seq91486	12q5.8	(31.5,36.3)
seq91487	11q3.2	(31.0,53.9)
seq91488	17p11.14	(17.2,31.2)
seq91489	7q7.1	(14.8,33.5)
seq91490	17p11.7	(40.3,95.1)
seq91491	1q8.3	(47.1,43.7)
seq91492	22q1.13	(98.2,48.8)
seq91493	4q5.3	(83.0,35.8)
seq91494	4p1.6	(39.8,17.5)
seq91495	16q2.2	(79.1,9.6)
seq91496	4p9.2	(97.4,43.9)
seq91497	5p7.2	(9.8,14.9)
seq91498	17p15.7	(39.4,24.1)
seq91499	10p2.14	(87.3,41.8)
seq91500	8p5.9	(3.3,76.3)
seq91501	4q14.10	(44.0,24.6)
seq91502	9p7.9	(34.8,21.7)
seq91503	15q15.4	(9.3,58.3)
seq91504	19q2.15	(11.0,53.0)
seq91505	10p14.14	(87.2,33.5)
seq91506	19p9.7	(61.7,38.7)
seq91507	4q2.2	(25.5,88.2)
seq91508	13p14.12	(30.4,88.5)
seq91509	17p11.14	(71.4,94.2)
seq91510	2q15.8	(93.1,65.1)
seq91511	16q2.3	(53.2,81.9)
seq91512	18q3.1	(87.3,40.0)
seq91513	20q14.15	(60.1,69.5)
seq91514	7q10.6	(23.0,65.8)
seq91515	19p3.15	(17.3,98.3)
seq91516	4p5.15	(8.5,41.7)
seq91517	17q11.4	(16.0,89.5)
seq91518	11p8.8	(0.6,93.2)
seq91519	11q6.15	(45.9,6.7)
seq91520	14p3.14	(25.4,78.1)
seq91521	11p13.2	(44.5,89.7)
seq91522	1p11.9	(73.2,20.8)
seq91523	19p7.3	(28.0,6.1)
seq91524	13q5.3	(29.5,30.7)
seq91525	7p1.9	(9.2,66.7)
seq91526	10p14.9	(67.8,45.9)
seq91527	9p13.1	(36.6,23.1)
seq91528	7p5.4	(48.8,75.6)
seq91529	17p5.11	(99.6,35.1)
seq91530	14p9.6	(23.1,78.6)
seq91531	6p15.1	(19.3,85.5)
seq91532	2q4.6	(58.1,64.0)
seq91533	6p5.10	(49.4,26.2)
seq91534	20p6.10	(35.0,20.0)
seq91535	22p2.10	(58.3,68.6)
seq91536	7q11.11	(32.3,92.6)
seq91537	21q5.7	(90.4,53.5)
seq91538	4p4.8	(94.7,78.8)
seq91539	4q6.12	(92.4,43.6)
seq91540	11p5.9	(15.6,23.3)
seq91541	22p14.1	(51.6,88.2)
seq91542	17p11.13	(27.1,69.6)
seq91543	1p3.15	(34.7,10.6)
seq91544	10q3.4	(76.7,22.9)
seq91545	15q12.7	(12.7,13.5)
seq91546	12q7.5	(54.2,18.3)
seq91547	15q7.14	(99.6,76.1)
seq91548	5q5.13	(30.1,67.6)
seq91549	8p12.10	(80.2,38.4)
seq91550	13p11.8	(81.6,33.3)
seq91551	7q15.4	(23.0,46.0)
seq91552	13p15.14	(61.7,73.9)
seq91553	14p11.12	(53.1,10.9)
seq91554	1p5.7	(65.6,93.8)
seq91555	1q6.15	(73.3,64.2)
seq91556	1q15.7	(82.3,30.2)
seq91557	20p12.12	(35.9,98.9)
seq91558	18q5.7	(89.2,72.7)
seq91559	1p8.4	(38.1,67.2)
seq91560	3p11.5	(65.6,0.4)
seq91561	5p2.14	(37.1,73.6)
seq91562	11q5.3	(80.1,70.4)
seq91563	17q9.13	(52.5,42.0)
seq91564	20q7.13	(37.9,34.7)
seq91565	5p9.3	(95.2,49.5)
seq91566	12q9.2	(86.4,51.0)
seq91567	2p10.3	(38.3,14.7)
seq91568	8p5.2	(47.1,66.2)
seq91569	19q9.5	(16.9,5.8)
seq91570	6q8.11	(75.7,28.7)
seq91571	7q2.13	(71.7,45.6)
seq91572	10q5.15	(67.9,44.0)
seq91573	15p13.5	(38.3,4.9)
seq91574	10p5.6	(38.9,92.8)
seq91575	21q11.9	(7.6,52.9)
seq91576	8q7.6	(25.2,15.0)
seq91577	14p5.9	(22.8,63.6)
seq91578	7q1.11	(2.3,58.2)
seq91579	2p8.11	(83.5,44.5)
seq91580	10q11.15	(64.8,15.6)
seq91581	5q14.5	(11.3,4.7)
seq91582	2q2.4	(16.5,88.2)
seq91583	1p5.14	(3.8,54.3)
seq91584	22p7.2	(24.0,51.8)
seq91585	6p1.15	(66.8,64.2)
seq91586	13q7.4	(33.8,45.0)
seq91587	16p13.15	(27.6,76.6)
seq91588	13q12.15	(49.5,39.3)
seq91589	10p2.5	(41.9,47.6)
seq91590	9q4.7	(62.4,96.4)
seq91591	19p3.6	(61.9,70.2)
seq91592	12q13.15	(12.5,63.3)
seq91593	2p5.9	(42.5,75.6)
seq91594	20p5.12	(45.0,24.7)
seq91595	9p14.2	(9.8,41.2)
seq91596	22q13.12	(47.8,13.7)
seq91597	21p6.8	(70.1,25.2)
seq91598	18q12.10	(76.2,79.5)
seq91599	19p9.5	(47.7,95.9)
seq91600	4p15.2	(31.9,12.2)
seq91601	1q7.10	(38.7,13.3)
seq91602	3q6.8	(46.5,39.5)
seq91603	13q15.10	(19.7,51.5)
seq91604	9q6.13	(12.3,39.2)
seq91605	15q13.2	(16.7,69.1)
seq91606	9q15.3	(89.6,46.9)
seq91607	12q1.15	(33.4,74.1)
seq91608	15q5.4	(88.0,32.6)
seq91609	21p9.4	(42.7,92.2)
seq91610	7p8.5	(70.3,69.6)
seq91611	13q11.3	(22.4,77.8)
seq91612	17p7.11	(45.5,0.6)
seq91613	11p5.4	(23.9,79.5)
seq91614	4p6.2	(96.2,66.0)
seq91615	12q15.15	(60.2,78.1)
seq91616	15q12.10	(90.2,96.3)
seq91617	12q8.6	(67.2,72.2)
seq91618	5q5.11	(61.5,32.0)
seq91619	11p6.14	(96.3,55.0)
seq91620	7p4.1	(43.8,53.6)
seq91621	22q2.8	(75.9,40.7)
seq91622	6q8.3	(17.5,97.4)
seq91623	20q4.1	(3.2,85.7)
seq91624	14q13.14	(35.7,83.2)
seq91625	1p6.12	(33.6,50.6)
seq91626	14q9.5	(59.9,32.1)
seq91627	19p12.1	(62.7,24.5)
seq91628	17q9.8	(15.2,5.4)
seq91629	5q2.12	(35.0,4.3)
seq91630	19p13.2	(42.7,54.6)
seq91631	11q10.2	(50.6,31.3)
seq91632	21q15.8	(11.1,1.6)
seq91633	18q2.6	(25.2,69.3)
seq91634	13q1.13	(37.5,87.0)
seq91635	11q14.12	(36.4,80.4)
seq91636	5p14.11	(34.4,87.3)
seq91637	10q6.12	(53.5,76.1)
seq91638	11p8.9	(48.4,67.8)
seq91639	16p5.5	(36.7,22.0)
seq91640	9q6.8	(29.0,27.2)
seq91641	14p11.4	(71.3,69.0)
seq91642	15q10.4	(95.8,66.6)
seq91643	7p9.10	(51.9,49.5)
seq91644	11q9.12	(35.9,18.8)
seq91645	14p2.12	(77.3,58.8)
seq91646	16p5.13	(47.1,66.9)
seq91647	22p1.2	(47.5,13.1)
seq91648	13p2.3	(87.9,54.0)
seq91649	9q14.2	(4.4,12.8)
seq91650	19p4.7	(39.1,35.0)
seq91651	21q14.11	(83.3,22.7)
seq91652	21q4.14	(54.5,9.5)
seq91653	15p13.5	(24.4,95.9)
seq91654	14q14.7	(62.4,9.7)
seq91655	13q14.5	(30.5,19.0)
seq91656	12q9.6	(91.8,89.1)
seq91657	6p15.2	(39.2,8.2)
seq91658	10q11.12	(48.4,0.4)
seq91659	2q1.1	(16.2,20.1)
seq91660	15q5.3	(88.1,70.7)
seq91661	6p11.10	(82.8,81.8)
seq91662	20q13.7	(21.5,94.0)
seq91663	3p12.14	(69.4,3.2)
seq91664	13p9.1	(56.5,97.9)
seq91665	1p10.13	(9.5,87.3)
seq91666	10p5.11	(74.3,32.5)
seq91667	22q13.11	(56.0,29.6)
seq91668	12q6.3	(97.5,5.1)
seq91669	12p7.14	(62.4,93.1)
seq91670	18q1.13	(39.6,69.0)
seq91671	12p7.11	(33.4,18.1)
seq91672	20p8.7	(85.7,61.6)
seq91673	20p2.4	(94.1,7.9)
seq91674	17q12.8	(63.1,43.7)
seq91675	5p12.3	(39.8,98.1)
seq91676	20q5.3	(78.3,44.5)
seq91677	6p8.11	(2.7,86.6)
seq91678	19p13.15	(51.0,48.2)
seq91679	8p13.1	(90.9,55.0)
seq91680	20q5.8	(63.9,36.2)
seq91681	3q14.6	(76.5,38.4)
seq91682	18q1.10	(95.5,74.4)
seq91683	15p4.12	(34.3,64.7)
seq91684	20p1.5	(51.3,4.3)
seq91685	14p14.1	(37.9,43.9)
seq91686	6p10.4	(63.9,48.1)
seq91687	19p1.15	(72.9,4.7)
seq91688	13q3.13	(29.3,76.4)
seq91689	18p2.9	(25.5,63.6)
seq91690	17p15.2	(42.9,84.7)
seq91691	20p4.2	(9.6,6.8)
seq91692	16q7.1	(48.5,15.4)
seq91693	5q12.3	(2.1,74.0)
seq91694	15q6.15	(71.9,43.7)
seq91695	20q2.13	(98.3,80.5)
seq91696	18q9.11	(79.0,17.5)
seq91697	13q9.14	(8.9,90.9)
seq91698	16q1.11	(9.0,8.4)
seq91699	5p15.8	(96.8,50.0)
seq91700	15p3.12	(65.9,96.4)
seq91701	7q7.12	(70.6,75.4)
seq91702	9p9.2	(28.1,55.2)
seq91703	6q10.13	(53.4,71.5)
seq91704	20p14.9	(4.0,11.3)
seq91705	2q14.10	(88.2,43.3)
seq91706	5p14.10	(14.7,10.2)
seq91707	13p1.12	(40.8,62.0)
seq91708	13p15.15	(7.5,65.1)
seq91709	2p2.1	(76.5,78.3)
seq91710	6q7.3	(21.7,94.4)
seq91711	16p12.12	(93.7,66.8)
seq91712	22q15.7	(59.9,70.9)
seq91713	15q12.14	(74.4,38.7)
seq91714	8p12.8	(5.1,45.7)
seq91715	12q2.2	(86.9,53.8)
seq91716	10p10.12	(56.8,41.4)
seq91717	15p11.15	(27.6,40.5)
seq91718	18q2.10	(43.1,11.8)
seq91719	10p13.14	(36.6,4.4)
seq91720	17p1.14	(55.6,63.7)
seq91721	11q14.9	(35.4,52.1)
seq91722	2p13.12	(1.7,6.8)
seq91723	12q9.5	(4.7,59.5)
seq91724	16p9.15	(76.8,61.6)
seq91725	10q15.10	(10.5,92.0)
seq91726	15q12.11	(66.9,77.7)
seq91727	5p15.7	(82.7,29.4)
seq91728	14q15.1	(29.1,14.3)
seq91729	22p7.10	(22.2,75.0)
seq91730	14q9.4	(23.2,21.5)
seq91731	15q9.7	(19.2,2.5)
seq91732	10p12.7	(20.7,64.1)
seq91733	6q4.6	(43.5,22.6)
seq91734	5p15.13	(93.0,15.8)
seq91735	8p13.10	(86.0,36.9)
seq91736	5q1.15	(58.4,16.9)
seq91737	1p9.12	(61.9,91.3)
seq91738	7p9.5	(82.0,71.0)
seq91739	16q7.8	(94.1,78.7)
seq91740	9p15.4	(41.4,22.1)
seq91741	13p9.10	(79.4,17.7)
seq91742	10q3.6	(68.6,54.3)
seq91743	17p6.15	(73.0,9.3)
seq91744	21p1.4	(71.9,23.1)
seq91745	18p6.3	(51.7,93.8)
seq91746	19q7.7	(85.1,81.6)
seq91747	21p7.10	(8.3,88.5)
seq91748	16p8.14	(54.8,87.3)
seq91749	7q12.11	(8.0,27.8)
seq91750	3q4.15	(95.6,91.9)
seq91751	17p7.9	(14.8,70.4)
seq91752	22q5.9	(65.1,71.7)
seq91753	7p5.5	(55.8,35.9)
seq91754	14p3.4	(27.0,11.9)
seq91755	15p4.11	(74.8,48.6)
seq91756	22q5.13	(87.3,91.5)
seq91757	18p10.15	(62.1,41.3)
seq91758	22q12.1	(73.0,85.4)
seq91759	22p14.5	(27.0,52.2)
seq91760	1p12.15	(40.1,51.7)
seq91761	16q6.8	(92.6,38.9)
seq91762	22q7.14	(2.7,23.4)
seq91763	20q3.1	(26.3,11.4)
seq91764	22p6.7	(47.4,38.1)
seq91765	4q4.13	(93.7,15.9)
seq91766	18q2.15	(84.0,23.0)
seq91767	18q15.8	(55.1,77.0)
seq91768	8q7.7	(14.6,74.8)
seq91769	10p3.15	(53.7,94.8)
seq91770	11p7.3	(17.8,16.5)
seq91771	14q14.1	(7.9,64.3)
seq91772	13q11.6	(38.7,91.8)
seq91773	4p4.7	(87.7,62.3)
seq91774	19q3.11	(63.9,77.3)
seq91775	19p2.3	(24.5,95.0)
seq91776	9q15.7	(61.8,27.6)
seq91777	15p13.10	(76.2,91.1)
seq91778	2q6.5	(12.4,45.5)
seq91779	10p1.9	(83.4,91.8)
seq91780	8q5.9	(82.5,48.3)
seq91781	11q3.2	(77.2,15.3)
seq91782	11p6.5	(36.7,90.1)
seq91783	11q3.7	(10.6,28.4)
seq91784	21q13.8	(18.1,53.6)
seq91785	18p9.6	(0.7,20.0)
seq91786	5p3.14	(88.0,53.6)
seq91787	17p13.12	(65.9,16.2)
seq91788	11q4.13	(6.4,27.2)
seq91789	17q1.3	(49.1,79.6)
seq91790	14q14.13	(45.7,84.1)
seq91791	10q2.2	(41.6,80.9)
seq91792	19p6.15	(42.3,16.2)
seq91793	3p6.8	(39.0,8.0)
seq91794	17p4.8	(0.9,6.5)
seq91795	13p10.5	(24.5,16.7)
seq91796	17q11.4	(18.0,8.6)
seq91797	8p5.11	(98.3,70.1)
seq91798	13p5.13	(32.5,50.8)
seq91799	2p2.1	(20.2,80.5)
seq91800	4p12.7	(75.9,37.4)
seq91801	11p5.5	(17.5,44.6)
seq91802	1p12.4	(89.8,32.1)
seq91803	20p2.2	(13.9,95.5)
seq91804	16p4.6	(71.6,14.2)
seq91805	9q1.8	(60.8,56.6)
seq91806	19q4.13	(39.0,81.5)
seq91807	19p7.2	(19.1,92.9)
seq91808	2q8.10	(58.9,80.0)
seq91809	8q3.3	(95.0,39.8)
seq91810	10q8.14	(69.1,56.6)
seq91811	13p10.4	(61.8,66.8)
seq91812	12p7.1	(86.1,95.8)
seq91813	9p2.8	(83.2,36.1)
seq91814	16p6.5	(42.6,94.6)
seq91815	16q4.13	(50.3,46.7)
seq91816	9q9.6	(8.5,82.1)
seq91817	12q2.9	(24.7,0.9)
seq91818	8p13.14	(29.8,61.6)
seq91819	3q5.1	(47.8,5.2)
seq91820	17p6.9	(30.1,78.6)
seq91821	6p1.8	(77.4,19.3)
seq91822	7p5.6	(92.8,73.7)
seq91823	7q14.3	(13.9,43.6)
seq91824	13q6.7	(75.6,0.5)
seq91825	1q13.10	(70.2,17.6)
seq91826	21q5.10	(59.2,99.3)
seq91827	1q13.5	(5.7,50.7)
seq91828	19q11.10	(68.8,62.1)
seq91829	6q6.3	(28.4,12.4)
seq91830	6p2.8	(39.7,13.8)
seq91831	22p2.3	(23.0,79.0)
seq91832	8q4.7	(75.1,59.6)
seq91833	5q12.9	(19.6,27.5)
seq91834	6q15.14	(24.4,82.8)
seq91835	21q2.5	(36.4,85.9)
seq91836	10q14.11	(86.7,89.9)
seq91837	4p5.15	(63.1,81.7)
seq91838	17p2.1	(24.5,15.3)
seq91839	14q9.2	(15.9,68.0)
seq91840	6p8.3	(41.4,50.2)
seq91841	11q7.7	(93.6,49.8)
seq91842	10p11.6	(38.6,1.7)
seq91843	7p11.7	(5.5,62.3)
seq91844	10q3.10	(20.5,23.3)
seq91845	14p12.14	(25.8,95.1)
seq91846	10q5.4	(51.0,72.0)
seq91847	13q1.9	(10.6,69.2)
seq91848	16p3.15	(18.0,93.9)
seq91849	11p13.5	(73.4,83.1)
seq91850	7p5.10	(7.3,26.8)
seq91851	13q5.2	(58.1,94.4)
seq91852	10q12.8	(64.3,5.5)
seq91853	16p9.11	(39.8,69.7)
seq91854	21p4.11	(55.6,80.1)
seq91855	14q15.8	(61.3,0.3)
seq91856	17p8.15	(55.6,32.8)
seq91857	20p4.1	(30.0,95.2)
seq91858	19p5.10	(85.1,56.0)
seq91859	1p12.3	(37.6,43.4)
seq91860	9q6.1	(19.4,15.8)
seq91861	9q8.8	(37.4,14.9)
seq91862	16q11.15	(42.5,54.9)
seq91863	20q11.11	(41.7,7.2)
seq91864	17p10.12	(98.5,11.1)
seq91865	2q7.3	(11.6,52.4)
seq91866	12q6.13	(81.8,88.7)
seq91867	4q13.3	(65.4,7.9)
seq91868	22q8.5	(49.6,7.7)
seq91869	20q3.4	(99.3,55.1)
seq91870	1q13.4	(54.2,63.6)
seq91871	8q1.1	(62.7,13.0)
seq91872	17q1.12	(34.9,48.3)
seq91873	7q4.5	(14.9,66.9)
seq91874	11q11.11	(87.6,67.8)
seq91875	4q6.10	(81.6,98.3)
seq91876	11q2.12	(44.6,85.4)
seq91877	8p7.14	(86.7,25.5)
seq91878	21p15.14	(39.6,97.6)
seq91879	3q13.15	(89.8,39.8)
seq91880	9p4.6	(18.0,30.1)
seq91881	8p11.1	(17.6,31.6)
seq91882	9p2.9	(29.3,44.0)
seq91883	3q7.3	(52.5,43.1)
seq91884	9p13.3	(63.1,56.0)
seq91885	4p6.9	(95.9,5.3)
seq91886	17p8.6	(32.5,95.0)
seq91887	14p15.3	(86.0,19.3)
seq91888	20p8.6	(0.7,39.8)
seq91889	10p13.12	(76.7,87.1)
seq91890	1q2.12	(68.3,85.5)
seq91891	19q11.15	(25.0,76.8)
seq91892	8q1.11	(66.7,31.3)
seq91893	20p1.14	(19.2,4.3)
seq91894	20p2.12	(87.7,32.3)
seq91895	10p10.9	(78.0,94.2)
seq91896	18p11.7	(82.6,83.1)
seq91897	18q10.3	(95.4,99.5)
seq91898	10q6.1	(35.1,53.5)
seq91899	22q7.3	(86.2,55.8)
seq91900	15p11.4	(76.1,62.6)
seq91901	21q8.5	(10.7,27.0)
seq91902	5p14.10	(88.7,79.1)
seq91903	7p9.3	(76.5,75.0)
seq91904	4p2.15	(60.9,12.2)
seq91905	18p10.10	(3.6,4.5)
seq91906	14p1.5	(0.6,27.3)
seq91907	1p1.4	(10.3,44.9)
seq91908	10p13.5	(22.2,77.3)
seq91909	6p8.4	(1.0,15.1)
seq91910	4p11.13	(55.1,47.2)
seq91911	4q12.8	(66.9,50.5)
seq91912	2q6.10	(3.3,38.7)
seq91913	2q5.14	(87.0,50.0)
seq91914	6q8.4	(65.2,87.6)
seq91915	3p9.13	(95.5,15.4)
seq91916	19p8.12	(78.4,18.7)
seq91917	9q10.7	(74.4,26.8)
seq91918	17p13.11	(22.6,32.4)
seq91919	22p5.12	(89.5,22.7)
seq91920	2q5.14	(69.4,96.9)
seq91921	8p8.4	(19.9,30.7)
seq91922	21q10.13	(15.8,96.7)
seq91923	14q8.5	(60.9,6.9)
seq91924	1q14.10	(81.2,74.9)
seq91925	20q1.7	(55.3,94.5)
seq91926	10q1.15	(58.3,94.6)
seq91927	16p9.9	(17.7,68.1)
seq91928	11q7.14	(81.4,99.2)
seq91929	12q8.4	(76.5,93.5)
seq91930	9q11.3	(91.6,58.5)
seq91931	14q7.13	(86.7,33.9)
seq91932	4q13.14	(66.7,11.6)
seq91933	14q7.7	(68.6,30.3)
seq91934	3q4.12	(58.3,5.4)
seq91935	9p3.11	(85.1,11.5)
seq91936	6p14.6	(99.0,17.7)
seq91937	6p7.13	(28.8,30.8)
seq91938	20q13.11	(82.6,20.3)
seq91939	22q8.1	(44.0,52.3)
seq91940	7q4.8	(24.9,34.2)
seq91941	20p14.4	(7.3,11.5)
seq91942	6p14.9	(11.9,12.0)
seq91943	3p13.2	(33.2,34.3)
seq91944	8q2.12	(86.4,71.4)
seq91945	7p11.14	(44.3,72.9)
seq91946	21q1.13	(80.8,84.3)
seq91947	6p11.8	(35.3,94.3)
seq91948	20p6.1	(8.3,67.3)
seq91949	18p7.13	(77.9,41.3)
seq91950	5q7.9	(30.4,66.6)
seq91951	15p8.4	(52.9,36.3)
seq91952	5p6.7	(26.6,33.9)
seq91953	15q7.3	(79.9,76.7)
seq91954	5q15.9	(10.9,85.6)
seq91955	21p14.9	(11.3,7.7)
seq91956	15p10.6	(94.8,33.8)
seq91957	1q14.13	(7.3,45.0)
seq91958	15p8.12	(79.3,61.7)
seq91959	17p8.12	(13.1,51.4)
seq91960	5p3.9	(91.4,49.5)
seq91961	10q12.6	(81.1,27.0)
seq91962	7q14.15	(96.9,86.3)
seq91963	10q8.4	(15.6,99.3)
seq91964	17q12.5	(18.4,77.5)
seq91965	6p12.8	(22.6,60.6)
seq91966	5p10.13	(72.5,18.4)
seq91967	14q3.13	(65.1,12.3)
seq91968	1p12.2	(85.4,10.9)
seq91969	9p7.2	(0.5,22.6)
seq91970	13p4.15	(17.7,69.7)
seq91971	11q13.12	(3.5,65.2)
seq91972	3p5.4	(5.8,65.2)
seq91973	10q5.13	(25.2,12.2)
seq91974	16q9.7	(5.5,22.7)
seq91975	3p8.8	(39.0,44.5)
seq91976	21p3.11	(26.8,12.8)
seq91977	3p1.7	(8.6,92.9)
seq91978	4q9.9	(90.6,15.7)
seq91979	20q12.6	(15.6,13.7)
seq91980	5q10.15	(51.5,68.7)
seq91981	16q6.5	(9.3,3.9)
seq91982	20q15.2	(2.4,47.6)
seq91983	7p9.15	(17.9,71.8)
seq91984	18p8.10	(3.5,74.5)
seq91985	1q10.7	(54.5,68.5)
seq91986	13q14.9	(38.1,0.3)
seq91987	10p6.13	(79.5,96.0)
seq91988	2q4.2	(47.8,31.5)
seq91989	8p4.7	(9.1,29.8)
seq91990	8p11.7	(23.0,78.1)
seq91991	6p7.7	(39.1,17.0)
seq91992	15p9.14	(97.1,50.9)
seq91993	13p5.6	(20.9,95.2)
seq91994	20p9.15	(30.6,75.2)
seq91995	3p5.10	(90.6,81.8)
seq91996	10q2.6	(3.6,18.1)
seq91997	9q4.15	(74.4,20.9)
seq91998	12p13.12	(54.8,68.9)
seq91999	21q15.1	(69.3,88.0)
seq92000	10p2.15	(45.2,43.2)
seq92001	5p15.13	(37.8,59.7)
seq92002	10p7.9	(71.4,61.8)
seq92003	21q1.3	(0.2,89.8)
seq92004	11p15.8	(24.0,30.3)
seq92005	10q13.3	(0.7,61.5)
seq92006	7q7.5	(68.7,48.4)
seq92007	22q7.5	(81.0,1.2)
seq92008	6q14.5	(11.2,94.6)
seq92009	10q8.2	(14.1,6.1)
seq92010	19p4.14	(26.6,84.4)
seq92011	12p9.2	(71.3,86.0)
seq92012	6q8.12	(40.5,28.6)
seq92013	14p7.4	(64.7,57.7)
seq92014	18p2.2	(47.9,79.1)
seq92015	11q10.9	(12.2,60.7)
seq92016	3p7.14	(79.2,52.5)
seq92017	16q2.1	(4.9,73.3)
seq92018	2p3.2	(11.5,81.7)
seq92019	7q6.1	(51.4,17.1)
seq92020	12p10.11	(86.4,70.9)
seq92021	16p11.11	(8.3,57.6)
seq92022	21p11.10	(49.5,51.5)
seq92023	14p7.1	(37.8,82.4)
seq92024	15p15.1	(44.3,86.7)
seq92025	21p1.6	(81.4,81.7)
seq92026	13p3.14	(67.1,5.9)
seq92027	7p1.7	(74.3,25.3)
seq92028	3q5.11	(38.3,67.1)
seq92029	18q14.6	(82.8,50.2)
seq92030	17q12.10	(15.2,79.3)
seq92031	19q8.11	(13.3,8.4)
seq92032	7q13.7	(64.8,84.1)
seq92033	19p8.10	(75.1,64.8)
seq92034	14q12.10	(54.6,11.3)
seq92035	6q11.5	(66.3,88.9)
seq92036	12p11.4	(3.7,4.2)
seq92037	9p4.12	(3.2,75.7)
seq92038	17q14.4	(58.7,43.3)
seq92039	18q8.11	(3.9,58.3)
seq92040	15p1.7	(39.3,32.5)
seq92041	13q13.2	(2.9,76.6)
seq92042	13q8.9	(53.1,32.4)
seq92043	2p14.5	(5.8,45.5)
seq92044	7p2.4	(71.3,12.6)
seq92045	3q14.5	(89.6,8.8)
seq92046	6p13.12	(30.5,48.1)
seq92047	8q6.2	(44.7,81.7)
seq92048	18p11.1	(26.0,61.0)
seq92049	4p12.2	(7.9,40.0)
seq92050	20p8.2	(83.9,1.8)
seq92051	9p8.9	(99.3,15.9)
seq92052	8q6.14	(72.9,77.0)
seq92053	15q14.15	(51.6,2.6)
seq92054	6q15.10	(47.6,77.4)
seq92055	13q8.3	(10.6,8.0)
seq92056	18p14.6	(24.8,91.5)
seq92057	9p14.1	(80.4,65.0)
seq92058	20p4.15	(64.0,9.5)
seq92059	16p4.8	(38.7,79.1)
seq92060	17p10.4	(20.5,92.2)
seq92061	7p10.2	(2.1,80.8)
seq92062	16q1.3	(81.0,13.0)
seq92063	17q13.2	(99.4,20.7)
seq92064	11p10.10	(75.5,59.7)
seq92065	7q10.3	(17.7,80.6)
seq92066	9p13.3	(17.5,44.4)
seq92067	19q8.3	(50.4,42.2)
seq92068	6p8.11	(4.7,30.7)
seq92069	13p15.15	(36.8,77.3)
seq92070	14q7.3	(79.1,20.2)
seq92071	8p1.4	(92.1,59.1)
seq92072	2q9.4	(12.3,71.8)
seq92073	20q2.5	(20.3,45.8)
seq92074	19p11.8	(86.6,94.2)
seq92075	3q6.12	(14.1,22.5)
seq92076	16q15.2	(35.8,17.5)
seq92077	5p5.1	(56.0,63.9)
seq92078	2q14.6	(96.8,59.4)
seq92079	14p3.13	(38.7,7.0)
seq92080	5q6.14	(98.2,58.8)
seq92081	14q10.15	(53.2,67.9)
seq92082	19p10.10	(61.7,69.3)
seq92083	2p14.7	(33.0,67.7)
seq92084	7q11.4	(73.5,95.2)
seq92085	9q5.15	(55.0,1.3)
seq92086	11p13.10	(40.2,98.8)
seq92087	1p7.11	(44.7,0.5)
seq92088	20p4.5	(74.1,59.5)
seq92089	18p9.11	(57.9,79.5)
seq92090	9q7.6	(5.1,86.2)
seq92091	7p1.7	(87.0,14.0)
seq92092	17p4.6	(75.3,54.3)
seq92093	10q11.13	(24.9,67.6)
seq92094	17q3.14	(37.6,13.9)
seq92095	20q13.7	(21.9,6.9)
seq92096	22q13.8	(6.0,8.2)
seq92097	20q15.15	(29.9,43.5)
seq92098	12p14.6	(31.7,28.1)
seq92099	20q10.13	(46.6,90.9)
seq92100	22p12.15	(74.5,80.5)
seq92101	20p13.7	(95.3,9.8)
seq92102	8p7.14	(2.3,75.9)
seq92103	1q11.6	(23.5,78.7)
seq92104	5q4.13	(98.7,34.4)
